forename	surname	authorFirstname	authorLastname
August	Abel		
Otto	Abeles		
Iñaki	Aberrigoyen, de		
Karl Fritz	Abicht		
Max	Abraham		
Rudolf	Abraham		
Mark	Abramowitsch		
Raphael	Abramowitsch		
Nina	Abrikossowitsch		
N.	Abusow		
Franz Heinrich	Achermann		
Arthur	Achleitner		
Sergej	Achrem		
Anton	Ackermann		Ackermann
Maximilliane	Ackers		
Louis	Adamic		
Abraham	Adler		
Alfred	Adler		
Bruno	Adler		
Felix	Adler		
Friedrich (Wolfgang)	Adler		
Georg	Adler		
Max	Adler		
Otto	Adler		
Viktor	Adler		
Gustav	Adolf		
Max	Adolphi		
Arno	Kettmann		
Joseph	Adrian		
A.	Afonin		
Gregor A.	Agabekow		
Georg	Ahlemann		
Alfred	Baresel		
Charles	Albert		
M.	Alberton		
Emil	Alboldt		
August	Albrecht		
Paul	Albrecht		
Don Brennus	Aléra		
Friedrich	Alexan		
Alex	Alexander		
Edgar	Alexander		
G. G. L.	Alexander		
L.	Alexander		
Georg	Alfes		
Adler	Alfred		
Konrad	Algermissen		
	Ali-Czeh		
Marcel	Allain		Allain, Marcel, u. Pierre Souvestre
Pierre	Souvestre		Allain, Marcel, u. Pierre Souvestre
Walther	Allerhand		
Rudolf	Allers		
Christoph	Allroggen		
Adolf	Allwohn		
J.	Alpari		
Max	Alsberg		
Ola	Alsen		
Paul	Althaus		
Werner	Altpeter		
Alexej	Aluf		
Paul	Amann		
Oskar	Ameringer		
L'	Amie des Femmes		
Joseph	Amiel		
Paul	Schmidt-Amman		
Graf	Amori		
Friedrich	Andermann		
Andreas	Andernach		
Martin	Andersen-Nexö		
Francis	André		
Malraux	André		
Leonid	Andrejew		
Norman	Angell		
Clemens	Anheuser		
Reiner	Anna		
Hedwig	Anneler		
Anton	Anno		
Ernst	Thälmann		Anti-Nautikus
G.	Antonow		
Wladimir	Antonow-Owsejenko		
W.	Antonow-Saratowski		
Joseph	Antz		
Alfred	Apfel		
	Aquilar <de Louisade>		Aquilar de Louisade
Louis	Aragon		
Martin	Arbuester		
Martha	Arendsee		
Pietro	Aretino		
Alexander	Areuss		
L.	Argutinskaja		
Mahatma	Arkaja Brahma		
Hamilton Fish	Armstrong		
Barto	Arnegg		
Rudolf Julius Israel	Arnheim		
Karl	Arnold		
Eduard	Arnot		
Leopold	Arthofer		
Arthur	Arzt		
Arthur (Georg Arthur)	Arzt		
Käte	Asch		
Nathan	Asch		
Schalom	Asch		
Mojzes	Grzyb		Asiaticus
Albert S.	Asseo		
Vladimir 	Astrov	Wladimir [Vladimir]	Astrow [Astrov]
Fernand	Aubier		
Erhard	Auer		
N.	Auerbach		
Raoul	Auernheimer		
Siegfried	Aufhaeuser		
Alexander	Awdejenko		
Paul	Axelrod		
Jose Antonio de	Azpilikoeta, de		Azpilikoeta, de
Ottilie	Baader		
Julius	Bab		
M.	Babajan		
I. S.	Rjažskaja		
Isaak	Babel		
Martha	Babillotte		
Egon	Back		
Fritz	Backhaus		
Aleksej E.	Badajew		
Konstantin	Badigin		
Hans	Baecker		
Konrad	Baenninger		
Rudolf	Baer		
Emil	Baeuerle		
Gertrud	Baeumer		
André	Baillon		
Jacques	Bainville		
Josephine	Baker		
Michael	Bakunin		
Angelica	Balabanoff		
Bela	Balass		
Ákos	Balázs		
Bela	Balázs		
Hans	Baldur		
Stanley	Baldwin		
Theodor	Balk		
Hans	Balke		
Karl	Ballmer		
Carl	Ballod		
Bruno	Balscheit		
Oskar	Bam		
Eugen	Bandmann		
Heinrich	Banniza von Bazan		
Ewald	Banse		
Ewald	Banse		
Werner	Jansen		
Jules A.	Barbey d'Aurevilly		
Henri	Barbusse		
Julio R.	Barcos		
Margarete	Baré		
Alfred	Baresel		
Ernst	Barlach		
J. M.	Barmettler		
Carman	Barnes		
Salo	Baron		
Philippe	Barrès		
Marcel	Barrière		
Jakub	Bart-Cišinski		
Emil	Barth		
Erwin	Barth		
Karl	Barth		
Max	Barthel		
Vernon	Bartlett		
Friedrich	Bartsch		
Franz	Barwich		
Ernst	Basch		
L. I.	Basiljewitsch		
S. M. 	Frumkina		
W. N.	Klujewa		
Nikolaus	Basseches		
Thomas	Bata		
Wladimir	Batkis		
Karl	Bau		
Alfred	Baudrillart	Alfred 	Baudrillart [Vorr.] 
Bernhard Adam	Bauer		
Hans	Bauer		
Ludwig	Bauer		
Max	Bauer		
Otto	Bauer		
Viktor	Bauer		
Walter	Bauer		
Friedrich	Bauermeister		
Oskar	Baum		
Vicki	Baum		
Alfons	Baumann		
Ulrich	Baumann		
Rudolf	Baumgardt		
Friedrich Wilhelm	Bautz		
Bernhard	Bavink		
Albert	Bayet		
Walter	Beamt		
Leonard	Hodgson		
August	Bebel		
Georg	Becher		
Johannes Robert	Becher		
Ulrich	Becher		
Maximilian	Beck		
Bernhard	Becker		
Heinz	Becker		
Michel	Becker		
Otto	Becker		
Hans	Beckers		
Joachim	Beckmann		
Berta	Beer		
Max	Beer		
Martin	Beheim-Schwarzbach		
Hans Wolfgang	Behm		
Alice	Behrend		
Hans	Behrend		
Harald	Beijer		
Hans	Beimler		
Konrad	Beisswanger		
Emil	Beizner		
