Maxsein, Anton	http://d-nb.info/gnd/129320811
Karfeld, Kurt Peter	http://d-nb.info/gnd/130048542
Lux, Hermann Joseph	
Renn, Ludwig	http://d-nb.info/gnd/118599720
Guggenberger, Siegmund	http://d-nb.info/gnd/126453160
Tschuppik, Karl	http://d-nb.info/gnd/11928636X
Wilczynski, Karl	http://d-nb.info/gnd/117379131
Ruben-Wolf, Martha	http://d-nb.info/gnd/127377700
Braun, Adolf	http://d-nb.info/gnd/118936654, http://d-nb.info/gnd/101217901X
Kolbenhoff, Walter	http://d-nb.info/gnd/118713728
Layton, Walter	http://d-nb.info/gnd/124371655
Bettauer, Hugo	http://d-nb.info/gnd/11851038X
Rubinstein, Alexander	http://d-nb.info/gnd/121099539, http://d-nb.info/gnd/129964166
Schmitt, Heinrich	http://d-nb.info/gnd/118504061, http://d-nb.info/gnd/121077128, http://d-nb.info/gnd/128964057, http://d-nb.info/gnd/129399876, http://d-nb.info/gnd/1012570266, http://d-nb.info/gnd/1016000928, http://d-nb.info/gnd/1028810814, http://d-nb.info/gnd/1029993076, http://d-nb.info/gnd/1036239551
Adolf, Gustav	http://d-nb.info/gnd/118500759, http://d-nb.info/gnd/1013915011
Holmberg, Otto	http://d-nb.info/gnd/127600779
Pupp, Julius	http://d-nb.info/gnd/130281336, http://d-nb.info/gnd/139040978, http://d-nb.info/gnd/141567988
Hackmack, Hans	http://d-nb.info/gnd/12475984X, http://d-nb.info/gnd/136817629
Lissmann, Paul	http://d-nb.info/gnd/1031307850
Kesser, Hermann	http://d-nb.info/gnd/116017899
Ludwig, Emil	http://d-nb.info/gnd/118780778, http://d-nb.info/gnd/130895814, http://d-nb.info/gnd/143676105
Lehmann, Otto	http://d-nb.info/gnd/116875267, http://d-nb.info/gnd/116875275, http://d-nb.info/gnd/116875283, http://d-nb.info/gnd/123520789, http://d-nb.info/gnd/130512516, http://d-nb.info/gnd/13354480X, http://d-nb.info/gnd/136599990, http://d-nb.info/gnd/136600026, http://d-nb.info/gnd/141380330, http://d-nb.info/gnd/14239713X, http://d-nb.info/gnd/1012579190, http://d-nb.info/gnd/1015896413, http://d-nb.info/gnd/1017522480, http://d-nb.info/gnd/1028949030, http://d-nb.info/gnd/1031363009
Thieme, Karl	http://d-nb.info/gnd/117337080, http://d-nb.info/gnd/118841661, http://d-nb.info/gnd/124864368, http://d-nb.info/gnd/128987189, http://d-nb.info/gnd/174060270, http://d-nb.info/gnd/174091966, http://d-nb.info/gnd/1028650086
Einstein, Albert	http://d-nb.info/gnd/118529579, http://d-nb.info/gnd/130586552
Schardt, Alois	http://d-nb.info/gnd/117106194, http://d-nb.info/gnd/124600301
Kleemann, Karl	http://d-nb.info/gnd/130501174
Wachtelborn, Karl	http://d-nb.info/gnd/117724017
Graf, Oskar Maria	http://d-nb.info/gnd/118541358
Halle, Fannina W.	http://d-nb.info/gnd/1043114386
Menningen, Alexander	http://d-nb.info/gnd/119167514
Scheuer, Oskar	http://d-nb.info/gnd/117224251
Galeatus, Michael	http://d-nb.info/gnd/126259844
Elberskirchen, Johanna	http://d-nb.info/gnd/13575240X
Neuberger, Josef	http://d-nb.info/gnd/12412741X, http://d-nb.info/gnd/173752330, http://d-nb.info/gnd/1012383091
Giraudoux, Jean	http://d-nb.info/gnd/118539523
Uzarski, Adolf	http://d-nb.info/gnd/118924613, http://d-nb.info/gnd/171937864
Seydewitz, Max	http://d-nb.info/gnd/11861360X
Einzig, Paul	http://d-nb.info/gnd/101611633
Abraham, Felix	http://d-nb.info/gnd/143667831, http://d-nb.info/gnd/1015239986
Boros, L. F.	http://d-nb.info/gnd/127610693
Gibbon, Eduard	http://d-nb.info/gnd/118717286
Jellinek, Oskar	http://d-nb.info/gnd/118776118
Forbes-Mosse, Irene	http://d-nb.info/gnd/116648910
