row	authorFirstname	authorLastname	 X	GND	preferredName	yearOfBirth	yearOfDeath	placeOfBirth	placeOfDeath	professionOrOccupation	foaf_page	
13	Ernst	Iros [wirkl. Name] s. Rosenstiel, Julius	 	http://d-nb.info/gnd/11720420X 								
34	Josif Vissarionovič	Stalin	 	http://d-nb.info/gnd/118642499 								
40	Salomo	Friedlaender	 	http://d-nb.info/gnd/118586076	Friedlaender, Salomo	1871	1946	 	Paris	Philosoph | Schriftsteller	http://de.wikipedia.org/wiki/Salomo_Friedlaender	Pseudonym
44	Josef	Schneider	 	http://d-nb.info/gnd/118758705	Bô Yin Râ	1876	1943	Aschaffenburg	 	Maler | Schriftsteller	http://de.wikipedia.org/wiki/Joseph_Anton_Schneiderfranken	DifferentiatedPerson
44	Josef	Schneider	 	http://d-nb.info/gnd/117760080	Schneider, Josef	 	 	 	 	 	 	DifferentiatedPerson
44	Josef	Schneider	 	http://d-nb.info/gnd/118758616	Schneider, Ferdinand Josef	1879	1954	Bohosudov	Halle (Saale)	Germanist | Philologe	http://de.wikipedia.org/wiki/Ferdinand_Josef_Schneider	DifferentiatedPerson
44	Josef	Schneider	 	http://d-nb.info/gnd/116839147	Schneider-Franke, Josef Rudolf	 	 	 	 	 	 	DifferentiatedPerson
44	Josef	Schneider	 	http://d-nb.info/gnd/116829443	Schneider, Josef	 	 	 	 	 	 	DifferentiatedPerson
44	Josef	Schneider	 	http://d-nb.info/gnd/120842246	Schneider, Josef	 	 	 	 	Polizeibeamter	 	DifferentiatedPerson
44	Josef	Schneider	 	http://d-nb.info/gnd/124952909	Schneider, Josef	1882	1939	 	 	Politiker	 	DifferentiatedPerson
44	Josef	Schneider	 	http://d-nb.info/gnd/12500155X	Schneider, Jupp	1903	1975	 	 	Priester | Seelsorger	 	DifferentiatedPerson
44	Josef	Schneider	 	http://d-nb.info/gnd/138919518	Schneider, Josef	1911	 	 	 	Schriftsteller	 	DifferentiatedPerson
44	Josef	Schneider	 	http://d-nb.info/gnd/189513365	Schneider, Franz Josef	 	 	 	 	 	 	DifferentiatedPerson
44	Josef	Schneider	 	http://d-nb.info/gnd/189361468	Schneider, Josef	 	 	 	 	 	 	DifferentiatedPerson
44	Josef	Schneider	 	http://d-nb.info/gnd/170089401	Schneider, Karl Josef	 	 	 	 	 	 	DifferentiatedPerson
44	Josef	Schneider	 	http://d-nb.info/gnd/173040578	Schneider, Hans-Josef	 	 	 	 	 	 	DifferentiatedPerson
44	Josef	Schneider	 	http://d-nb.info/gnd/173757111	Schneider, Josef	1920	 	 	 	 	 	DifferentiatedPerson
44	Josef	Schneider	 	http://d-nb.info/gnd/1012412490	Schneider, Josef	1899	1993	 	 	 	 	DifferentiatedPerson
44	Josef	Schneider	 	http://d-nb.info/gnd/1019540753	Schneider, Martin	 	 	Aalen	 	Wirtschaftswissenschaftler	 	DifferentiatedPerson
44	Josef	Schneider	 	http://d-nb.info/gnd/172361478	Schneider, Hans-Josef	 	 	 	 	 	 	DifferentiatedPerson
44	Josef	Schneider	 	http://d-nb.info/gnd/131840789	Schneider, Joseph Johann	1839	 	 	 	 	 	DifferentiatedPerson
44	Josef	Schneider	 	http://d-nb.info/gnd/131900692	Schneider, Josef	1902	 	Karlsbad	 	Künstler	 	DifferentiatedPerson
44	Josef	Schneider	 	http://d-nb.info/gnd/130377589	Schneider, Josef	 	 	 	 	 	 	DifferentiatedPerson
44	Josef	Schneider	 	http://d-nb.info/gnd/13292286X	Schneider, Joseph	1890	 	 	 	Komponist | Musiklehrer | Chorleiter | Musiker	 	DifferentiatedPerson
44	Josef	Schneider	 	http://d-nb.info/gnd/115598472	Schneider, Peter Joseph	1791	1871	 	 	Arzt | Musikwissenschaftler | Philosoph	 	DifferentiatedPerson
