;additionalInfos;authorFirstname;authorLastname;correctionsAfter1938;firstEditionPublicationPlace;firstEditionPublicationYear;firstEditionPublisher;ocrResult;pageNumberInOCRDocument;secondEditionPublicationPlace;secondEditionPublicationYear;secondEditionPublisher;ssFlag;title
0;;;;; Paris; 1925;Kuriosa-Verl.;Erinnerungen der Miss Barbara. Paris: Kuriosa-Verl. 1925.;33; Paris; 1925;Kuriosa-Verl.;True;Erinnerungen der Miss Barbara
1;;Ignaz;Zadek;;Berlin;1917;Vorwärts;Zadek, Ignaz: Frauenleiden. Berlin: Vorwärts 1917.;166;Berlin;1917;Vorwärts;False;Frauenleiden
2;;Hubert Ernst;Gilbert;;Berlin;1930;Dom-Verl.;Gilbert, Hubert Ernst: Larissa. Berlin: Dom-Verl. 1930.;46;Berlin;1930;Dom-Verl.;False;Larissa
3;Jahresliste 1939 des schädlichen und unerwünschten Schrifttums;;Hrsg. unter der Red. v. G. Friedrich u. F. Lang;;Paris;1938;Éditions Prométhée;Vom Reichstagsbrand zur Entfachung des Weltkriegsbrandes. Hrsg. unter der Red. v. G. Friedrich u. F. Lang.— Paris: Éditions Prométhée (1938).;11;Paris;1938;Éditions Prométhée;True;Vom Reichstagsbrand zur Entfachung des Weltkriegsbrandes
4;;Egon;Riedinender;;München;1927/31;Beck;Riedinender, Egon: Kulturgeschichte der Neuzeit. München: Beck 1927/31.;41;München;1927/31;Beck;False;Kulturgeschichte der Neuzeit
5;;;Wahrmund;;Dillingen; 1932;Manz;Wahrmund: Gericht über Hugenberg. Dillingen: Manz 1932.;156;Dillingen; 1932;Manz;False;Gericht über Hugenberg
6;;Chajim;Bloch;;Wien;1930;Amalthea-Verl.;Bloch, Chajim: Priester der Liebe. Wien: Amalthea-Verl. 1930.;12;Wien;1930;Amalthea-Verl.;False;Priester der Liebe
7;;Walter Maria;Espe;;Berlin;1934;Schönfeld;Espe, Walter Maria: Das Buch der NSDAP. Berlin: Schönfeld 1934.;34;Berlin;1934;Schönfeld;False;Das Buch der NSDAP
8;„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“;Georg;Kaiser;;Zürich, New York;1940;Oprecht;Kaiser, Georg: Der Soldat Tanaka. Schauspiel. — Zürich, New York: Oprecht (1940).;9;Zürich, New York;1940;Oprecht;True;Der Soldat Tanaka. Schauspiel.
9;;;;;o. O.;1932;;Sowjetunion, 15 Jahre ~. o. O. 1932.;140;o. O.;1932;;True;Sowjetunion, 15 Jahre ~.
10;Jahresliste 1940 des schädlichen und unerwünschten Schrifttums;Pierre;Lhande;;Einsiedeln;1930;Benziger & Co.;Lhande, Pierre: Bilbilis, die versunkene Stadt. — Einsiedeln: Verlagsanstalt Benziger & Co. [1930].;12;Einsiedeln;1930;Benziger & Co.;True;Bilbilis, die versunkene Stadt
11;;Karl Friedrich;Borée;;Frankfurt;1936;Rütten & Loening;Borée, Karl Friedrich: Quartier an der Mosel. Frankfurt: Rütten & Loening 1936.;14;Frankfurt;1936;Rütten & Loening;False;Quartier an der Mosel
12;„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“;Ernst;Iros;;;;;Iros, Ernst: sämtliche Schriften.;8;;;;True;sämtliche Schriften
13;;Victoria;Wolf;;Zürich;1937;Humanitas-Verl.;Wolf, Victoria: Drei Tage. Zürich: Humanitas-Verl. 1937.;164;Zürich;1937;Humanitas-Verl.;True;Drei Tage
14;;Peter;Mendelssohn;;Zürich;1934;Oprecht & Helbling;Mendelssohn, Peter: Das Haus Cosinsky. Zürich: Oprecht & Helbling 1934.;94;Zürich;1934;Oprecht & Helbling;True;Das Haus Cosinsky
15;Jahresliste 1939 des schädlichen und unerwünschten Schrifttums;Harald;Guenther;;Berlin;um 1934;Harder;"Guenther, Harald: Arbeiterverrat der Emigranten. — Berlin: Harder [um 1934].

";7;Berlin;um 1934;Harder;False;Arbeiterverrat der Emigranten
16;;Peter;Grassmann;;Berlin;1933;Allgem. dt. Gewerkschaftsbund;Grassmann, Peter: Kampf dem Marxismus!? Berlin: Allgem. dt. Gewerkschaftsbund 1933.;48;Berlin;1933;Allgem. dt. Gewerkschaftsbund;False;Kampf dem Marxismus!?
17;;Otto;Pankok;;Berlin;1936;Kiepenheuer;Pankok, Otto: Die Passion in 60 Bildern. Berlin: Kiepenheuer 1936.;107;Berlin;1936;Kiepenheuer;False;Die Passion in 60 Bildern
18;;Fritz;Klose;;Berlin;1930;Traditionsverl. Kolk;Klose, Fritz: Marschier oder krepier! Berlin: Traditionsverl. Kolk 1930.;73;Berlin;1930;Traditionsverl. Kolk;False;Marschier oder krepier!
19;;Erich;Fitzner;;Leipzig;1929;;Fitzner, Erich: Die Ruten-Redoute in Frau Birkheims Tanzschule. Leipzig 1929.;0;Leipzig;1929;;False;Die Ruten-Redoute in Frau Birkheims Tanzschule
20;;Ernst Friedrich;Loehndorff;;Leipzig;1930;Grethlein;Loehndorff, Ernst Friedrich: Afrika weint. Leipzig: Grethlein 1930. — Bremen: Schünemann 1933.;87;Leipzig;1930;Grethlein;False;Afrika weint
21;;Käthe;Papke;;Neumünster;1936;Christopherus-Verl.;Papke, Käthe: Fürst Widukind, der Sachsenführer. Neumünster: Christopherus-Verl. 1936.;107;Neumünster;1936;Christopherus-Verl.;False;Fürst Widukind, der Sachsenführer
22;;Marta;Geldmacher;;Düsseldorf;1930;Lebensborn-Verl.;Geldmacher, Marta: Das Erlöserkind. Düsseldorf: Lebensborn-Verl. 1930.;44;Düsseldorf;1930;Lebensborn-Verl.;False;Das Erlöserkind
23;;Gottfried;Salomon;;Berlin;1920;Cassirer;Salomon, Gottfried: Proudhon und der Sozialismus. Berlin: Cassirer 1920.;125;Berlin;1920;Cassirer;False;Proudhon und der Sozialismus
24;;Friedrich;Robert;;Berlin;1919;Linsen-Verl.;Robert, Friedrich: Knabe oder Mädchen nach Wunsch u. Wahl der Eltern. Berlin: Linsen-Verl. 1919.;120;Berlin;1919;Linsen-Verl.;False;Knabe oder Mädchen nach Wunsch u. Wahl der Eltern
25;;Kamillo;Policky;;Wien;1938;Schölers Verl.;Policky, Kamillo: Das werdende Recht. Wien: Schölers Verl. 1938.;111;Wien;1938;Schölers Verl.;False;Das werdende Recht
26;;;;; Paris; 1937;Ed. du Carrefour;Azana, Manuel. — Azana spricht. Paris: Ed. du Carrefour 1937.;5; Paris; 1937;Ed. du Carrefour;True;Azana, Manuel. — Azana spricht
27;;Luise;Otto;;Leipzig;1864;Günther;Otto, Luise: Neue Bahnen. Leipzig: Günther 1864.;106;Leipzig;1864;Günther;False;Neue Bahnen
28;„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“;;Herzog, Emile [wirkl. Name] s. Maurois, André;;;;;Herzog, Emile [wirkl. Name] s. Maurois, André.;7;;;;False;
29;;;;;o. O.;1930;;Liebe und Leidenschaft. Flagell.-erot. Roman. o. O. 1930.;85;o. O.;1930;;False;Liebe und Leidenschaft. Flagell.-erot. Roman.
30;;Erich;Dammann;;Dresden;1913;Klio-Verl.;Dammann, Erich: Harnröhrenleiden. Dresden: Klio-Verl. 1913.;23;Dresden;1913;Klio-Verl.;False;Harnröhrenleiden
31;;Victor;Noack;;Berlin;1927;Der Syndikalist;Noack, Victor: Die Untersten. Berlin: Der Syndikalist 1927.;103;Berlin;1927;Der Syndikalist;False;Die Untersten
32;;Otto;Hammann;;Berlin;1897;Schriftenvertriebsanstalt;Hammann, Otto: Die kommunistische Gesellschaft. Berlin: Schriftenvertriebsanstalt 1897.;53;Berlin;1897;Schriftenvertriebsanstalt;False;Die kommunistische Gesellschaft
33;;Josif Vissarionovič;Stalin;;;;;Stalin, Josif Vissarionovič: Sämtliche Schriften von und über ~.;141;;;;False;Sämtliche Schriften von und über ~
34;;Walter;Luetgebrune;;Diessen;1933;Huber;Luetgebrune, Walter: Ein Kampf um Röhm. Diessen: Huber 1933.;89;Diessen;1933;Huber;False;Ein Kampf um Röhm
35;;Walter;Kabel;;Berlin;1934;Verl. mod. Lektüre;Kabel, Walter: Stürme um Kap Marga. Berlin: Verl. mod. Lektüre 1934.;67;Berlin;1934;Verl. mod. Lektüre;False;Stürme um Kap Marga
36;;Viktor;Waksow;;Berlin;1926;Führer-Verl.;Waksow, Viktor: 7 Tage, die Japan erschütterten. Berlin: Führer-Verl. 1926.;156;Berlin;1926;Führer-Verl.;False;7 Tage, die Japan erschütterten
37;Jahresliste 1939 des schädlichen und unerwünschten Schrifttums;;;;Amsterdam;;Forum (Querido-Verl.);Forum-Bücher. — (Amsterdam): Forum (Querido-Verl.).;11;Amsterdam;;Forum (Querido-Verl.);True;Forum-Bücher
38;;;Benjamin;;Wilhelmshagen; 1914;Wegwalt-Werkstatt;Benjamin: Pfingstnacht. Wilhelmshagen: Wegwalt-Werkstatt 1914.;9;Wilhelmshagen; 1914;Wegwalt-Werkstatt;False;Pfingstnacht
39;;Salomo;Friedlaender;;;;;Friedlaender, Salomo: Sämtliche Schriften.;41;;;;False;Sämtliche Schriften
40;;Albert;Londres;;Berlin;1924;Laub;Londres, Albert: Bagno. Berlin: Laub 1924.;87;Berlin;1924;Laub;False;Bagno
41;Jahresliste 1940 des schädlichen und unerwünschten Schrifttums;William James;Makin;;New York;1938;Dutton;Makin, William J[ames]: Brigade of spies. — New York: Dutton 1938.;13;New York;1938;Dutton;True;Brigade of spies
42;;P.;Mif;;Moskau;1937;Verlagsgen. ausländ. Arbeiter;Mif, P.: Die kommunistische Partei Chinas im Kampfe um die Befreiung des chines. Volkes. Moskau: Verlagsgen. ausländ. Arbeiter 1937.;96;Moskau;1937;Verlagsgen. ausländ. Arbeiter;True;Die kommunistische Partei Chinas im Kampfe um die Befreiung des chines. Volkes
43;;Josef;Schneider;;;;;Schneider, Josef: Sämtliche Schriften.;130;;;;False;Sämtliche Schriften
44;;Sigmund;Kaff;;Wien;1920;Neue Erde;Kaff, Sigmund: Die Sozialisierung der Wirtschaft durch die Genossenschaften. Wien: Neue Erde 1920.;67;Wien;1920;Neue Erde;False;Die Sozialisierung der Wirtschaft durch die Genossenschaften
45;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“

Zwei Schriften bereits in »Liste des schädlichen und unerwünschten Schrifttums« S. 95.

";Cassie;Michaelis;;;;;"Michaelis, Cassie: sämtliche Schriften.

Zwei Schriften bereits in »Liste des schädlichen und unerwünschten Schrifttums« S. 95.

";12;;;;True;sämtliche Schriften
46;;Hugo;Zehder;;Dresden;1920;Kaemmerer;Zehder, Hugo: Wassily Kandinsky. Dresden: Kaemmerer 1920.;166;Dresden;1920;Kaemmerer;False;Wassily Kandinsky
47;;;;; Wien; 1930/32;Verl. f. Kulturforschung;Sinne, Die fünf ~. Ihr Einfluss auf die Sexualität des Menschen. Bd 1—5. Wien: Verl. f. Kulturforschung 1930/32.;137; Wien; 1930/32;Verl. f. Kulturforschung;False;Sinne, Die fünf ~. Ihr Einfluss auf die Sexualität des Menschen. Bd 1—5
48;;A.;Stezki;;Moskau;1934;Verlagsgen. ausländ. Arbeiter;Stezki, A.: W. J. Lenin. Moskau: Verlagsgen. ausländ. Arbeiter 1934.;143;Moskau;1934;Verlagsgen. ausländ. Arbeiter;True;W. J. Lenin
49;„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“;Friedrich;Birk;;;;;Birk, Friedrich: sämtliche Schriften.;2;;;;True;sämtliche Schriften
50;;Johannes;Messner;;Innsbruck;1934;Tyrolia;Messner, Johannes: Dollfuss. Innsbruck: Tyrolia 1934.;95;Innsbruck;1934;Tyrolia;False;Dollfuss
51;Jahresliste 1939 des schädlichen und unerwünschten Schrifttums;Bruno;Strauss;;Rostock ;1938;Beckmann;Strauss, Bruno: Fliegerschicksale. — Rostock 1938: Beckmann.;10;Rostock ;1938;Beckmann;False;Fliegerschicksale
52;"„Jahresliste 1941 des schädlichen und unerwünschten Schrifttums.“

Eine Schrift bereits in »Liste des schädlichen und unerwünschten Schrifttums« S. 30.";Claus;Eichen;;;;;"Eichen, Claus: sämtliche Schriften.

Eine Schrift bereits in »Liste des schädlichen und unerwünschten Schrifttums« S. 30.

";5;;;;True;sämtliche Schriften
53;Jahresliste 1940 des schädlichen und unerwünschten Schrifttums;;;;Düsseldorf;;Verbandverlag weiblicher Vereine G.m.b.H.;Verbandverlag weiblicher Vereine G.m.b.H., Düsseldorf.;21;Düsseldorf;;Verbandverlag weiblicher Vereine G.m.b.H.;True;Verbandverlag weiblicher Vereine G.m.b.H., Düsseldorf. Gesamtproduktion.
54;;W.;Gromann;;Berlin;1927;Rowohlt;Gromann, W.: Die Volkswirtschaft der UdSSR. Berlin: Rowohlt 1927.;50;Berlin;1927;Rowohlt;False;Die Volkswirtschaft der UdSSR
55;;Wilhelm;Weitling;;München;1894;Ernst;Weitling, Wilhelm: Das Evangelium eines armen Sünders. München: Ernst 1894.;159;München;1894;Ernst;False;Das Evangelium eines armen Sünders
56;;Rudolf;Grossmann;;Stockholm;1919;Internat. Bund f. Kontingentierung d. Bevölkerung;Grossmann, Rudolf: Liebe ohne Folgen. Stockholm: Internat. Bund f. Kontingentierung d. Bevölkerung 1919.;50;Stockholm;1919;Internat. Bund f. Kontingentierung d. Bevölkerung;True;Liebe ohne Folgen
57;Jahresliste 1939 des schädlichen und unerwünschten Schrifttums;Louis;Fuernberg;;Zürich, New York;1939;Oprecht;Fuernberg, Louis: Das Fest des Lebens. — Zürich, New York: Oprecht (1939);6;Zürich, New York;1939;Oprecht;True;Das Fest des Lebens
58;;Gustav von;Scanzoni;;München;1933;Musarion-Verl.;Scanzoni, Gustav von: Unter Ausschluss der Öffentlichkeit. München: Musarion-Verl. 1933.;126;München;1933;Musarion-Verl.;False;Unter Ausschluss der Öffentlichkeit
59;;Helmut;Schinkel;;Berlin;1931;Verl. d. Jugendinternationale;Schinkel, Helmut: Proletarisches Spielbuch. Berlin: Verl. d. Jugendinternationale 1931.;128;Berlin;1931;Verl. d. Jugendinternationale;False;Proletarisches Spielbuch
60;;Konrad;Schmidt;;Berlin;1890;Volkstribüne;Schmidt, Konrad: Soziale Frage und Bodenverstaatlichung. Berlin: Volkstribüne 1890.;129;Berlin;1890;Volkstribüne;False;Soziale Frage und Bodenverstaatlichung
61;;Michael;Zwick;;Berlin;1933;Eden-Verl.;Zwick, Michael: Das Phantom im Nebel. Berlin: Eden-Verl. 1933.;169;Berlin;1933;Eden-Verl.;False;Das Phantom im Nebel
62;;Alexander von;Seldt;;Hamburg;1935;Selbstverl.;Seldt, Alexander von: Dokumente zu Friedmanns Kampf gegen die Tuberkulose. Hamburg: Selbstverl. 1935.;135;Hamburg;1935;Selbstverl.;False;Dokumente zu Friedmanns Kampf gegen die Tuberkulose
63;;;;; Trier; 1938;Lerwin-Verl.;Lebensjahrfuehrer, Ihr ~. Trier: Lerwin-Verl. 1938.;82; Trier; 1938;Lerwin-Verl.;False;Lebensjahrfuehrer, Ihr ~
64;;;;; Düsseldorf; 1932;Westdt. Buchdruckwerkstätten;Streik, Der ~ der Berliner Verkehrsarbeiter. Düsseldorf: Westdt. Buchdruckwerkstätten 1932.;145; Düsseldorf; 1932;Westdt. Buchdruckwerkstätten;False;Streik, Der ~ der Berliner Verkehrsarbeiter
65;;Theodor;Veiter;;Wien;1936;Reinhold-Verl.;Veiter, Theodor: Die slowenische Volksgruppe in Kärnten. Wien: Reinhold-Verl. 1936.;152;Wien;1936;Reinhold-Verl.;False;Die slowenische Volksgruppe in Kärnten
66;;Ernst;Johannsen;;Hamburg;1929;Fackelreiter-Verl.;Johannsen, Ernst: Fronterinnerungen eines Pferdes. Hamburg: Fackelreiter-Verl. 1929.;65;Hamburg;1929;Fackelreiter-Verl.;False;Fronterinnerungen eines Pferdes
67;;;;;Prag;1933;L. Twrdik;Spruch, Der ~ von London. Der Reichstagsbrand im Spiegel des Urteils ... Prag: L. Twrdik 1933.;0;Prag;1933;L. Twrdik;False;Spruch, Der ~ von London. Der Reichstagsbrand im Spiegel des Urteils ...
68;;Schalom;Asch;;;;;Asch, Schalom: Sämtliche Schriften.;5;;;;False;Sämtliche Schriften
69;;Ernst;Fraenkel;;Berlin;1927;Laub;Fraenkel, Ernst: Betriebsräte u. Arbeitsgerichtsgesetz. Berlin: Laub 1927.;40;Berlin;1927;Laub;False;Betriebsräte u. Arbeitsgerichtsgesetz
