,gnd,person,sameAs,forename,surname,dateOfDeath,dateOfBirth
0,http://d-nb.info/gnd/124963463,"{'dateOfDeath': '1931', 'variantName': ['I. Zadek'], 'forename': 'Ignaz', 'surname': 'Zadek', 'professionOrOccupation': [{'@id': 'http://d-nb.info/gnd/4003157-3', '@value': 'Arzt'}], 'biographicalOrHistoricalInformation': 'Dt. Arzt, sozialdemokrat. Politiker', 'depiction': {'image': 'http://upload.wikimedia.org/wikipedia/commons/b/b0/Friedhof_Wilmersdorf_-_Grab_Ignaz_Zadek.jpg', 'url': 'https://commons.wikimedia.org/wiki/File:Friedhof_Wilmersdorf_-_Grab_Ignaz_Zadek.jpg?uselang=de', 'thumbnail': 'https://commons.wikimedia.org/wiki/Special:FilePath/Friedhof_Wilmersdorf_-_Grab_Ignaz_Zadek.jpg?width=270'}, 'preferredName': 'Ignaz Zadek', 'dateOfBirth': '1858'}","[{'@id': 'http://toolserver.org/~authoritycontrol/redirect/gnd/de/124963463', 'publisher': {'icon': 'http://de.wikipedia.org/favicon.ico', 'name': 'Wikipedia (Deutsch)', 'abbr': 'WKPDE'}}, {'@id': 'http://viaf.org/viaf/280276284', 'publisher': {'icon': 'http://viaf.org/viaf/images/viaf.ico', 'name': 'VIAF - Virtual International Authority File', 'abbr': 'VIAF'}}]",Ignaz,Zadek,1931,1858
1,http://d-nb.info/gnd/118535560,"{'placeOfActivity': [{'@id': 'http://d-nb.info/gnd/4005728-8', '@value': 'Berlin'}], 'forename': 'Egon', 'affiliation': [{'@id': 'http://d-nb.info/gnd/251387-0', '@value': 'Theater (Josefstadt)'}], 'professionOrOccupation': [{'@id': 'http://d-nb.info/gnd/4053309-8', '@value': 'Schriftsteller'}, {'@id': 'http://d-nb.info/gnd/4025098-2', '@value': 'Historiker'}, {'@id': 'http://d-nb.info/gnd/4045790-4', '@value': 'Philosoph'}, {'@id': 'http://d-nb.info/gnd/4165775-5', '@value': 'Kritiker'}, {'@id': 'http://d-nb.info/gnd/4052154-0', '@value': 'Schauspieler'}, {'@value': 'Kabarettleiter'}], 'depiction': {'image': 'http://upload.wikimedia.org/wikipedia/commons/5/54/EgonFriedell.Gentzgasse7.Vienna.08.01.2008.PICT0002.JPG', 'url': 'https://commons.wikimedia.org/wiki/File:EgonFriedell.Gentzgasse7.Vienna.08.01.2008.PICT0002.JPG?uselang=de', 'thumbnail': 'https://commons.wikimedia.org/wiki/Special:FilePath/EgonFriedell.Gentzgasse7.Vienna.08.01.2008.PICT0002.JPG?width=270'}, 'preferredName': 'Egon Friedell', 'placeOfBirth': {'@id': 'http://d-nb.info/gnd/4066009-6', '@value': 'Wien'}, 'dateOfDeath': '16. März 1938', 'variantName': ['Egon Fridell', 'Egon Friedmann', 'Egon Friedländer'], 'surname': 'Friedell', 'placeOfDeath': {'@id': 'http://d-nb.info/gnd/4066009-6', '@value': 'Wien'}, 'gender': {'@id': 'http://d-nb.info/standards/vocab/gnd/gender#male', '@value': 'Mann'}, 'academicDegree': 'Dr. phil.', 'dateOfBirth': '21. Januar 1878'}","[{'@id': 'http://toolserver.org/~authoritycontrol/redirect/gnd/de/118535560', 'publisher': {'icon': 'http://de.wikipedia.org/favicon.ico', 'name': 'Wikipedia (Deutsch)', 'abbr': 'WKPDE'}}, {'@id': 'http://beacon.findbuch.de/gnd-resolver/pw_imdb/http://beacon.findbuch.de/gnd-resolver/pw_imdb/118535560', 'publisher': {'icon': 'http://i.media-imdb.com/images/SFff39adb4d259f3c3fd166853a6714a32/desktop-favicon.ico', 'name': 'Internet Movie Database (IMDb)', 'abbr': 'IMDB'}}, {'@id': 'http://data.bnf.fr/11886350', 'publisher': {'icon': 'http://www.bnf.fr/bnf_dev/icono/favicon.ico', 'name': 'Bibliothèque nationale de France | National Library of France', 'abbr': 'BNF'}}, {'@id': 'http://en.wikipedia.org/wiki/Egon_Friedell', 'publisher': {'icon': 'http://en.wikipedia.org/favicon.ico', 'name': 'Wikipedia (Englisch)', 'abbr': 'WKP'}}, {'@id': 'http://id.loc.gov/authorities/names/n84225416', 'publisher': {'icon': 'http://www.loc.gov/favicon.ico', 'name': 'Library of Congress / NACO', 'abbr': 'LC'}}, {'@id': 'http://toolserver.org/~authoritycontrol/redirect/gnd/ws/118535560', 'publisher': {'icon': 'http://wikisource.org/favicon.ico', 'name': 'Wikisource', 'abbr': 'WIKISOURCE'}}, {'@id': 'http://viaf.org/viaf/68923843', 'publisher': {'icon': 'http://viaf.org/viaf/images/viaf.ico', 'name': 'VIAF - Virtual International Authority File', 'abbr': 'VIAF'}}, {'@id': 'http://www.deutsche-biographie.de/pnd118535560.html', 'publisher': {'name': 'Historische Kommission bei der Bayerischen Akademie der Wissenschaften und Bundesarchiv', 'abbr': 'HKBAWB'}}, {'@id': 'http://www.dhm.de/lemo/html/biografien/FriedellEgon/index.html', 'publisher': {'icon': 'http://www.hdg.de/favicon.ico', 'name': 'Biographie bei LeMO Lebendiges virtuelles Museum Online', 'abbr': 'LEVIMUON'}}, {'@id': 'http://www.isni.org/0000000108582824', 'publisher': {'icon': 'http://www.isni.org/sites/default/files/isni_new_favicon.ico', 'name': 'International Standard Name Identifier (ISO 27729)', 'abbr': 'ISNI'}}, {'@id': 'http://www.isni.org/0000000368542650', 'publisher': {'icon': 'http://www.isni.org/sites/default/files/isni_new_favicon.ico', 'name': 'International Standard Name Identifier (ISO 27729)', 'abbr': 'ISNI'}}]",Egon,Friedell,16. März 1938,21. Januar 1878
2,http://d-nb.info/gnd/124264980,"{'dateOfBirthAndDeath': '1691', 'preferredName': 'Wahrmund'}","[{'@id': 'http://viaf.org/viaf/28000217', 'publisher': {'icon': 'http://viaf.org/viaf/images/viaf.ico', 'name': 'VIAF - Virtual International Authority File', 'abbr': 'VIAF'}}]",,,,
3,http://d-nb.info/gnd/118511734,"{'forename': 'Chajim', 'professionOrOccupation': [{'@id': 'http://d-nb.info/gnd/4176751-2', '@value': 'Rabbiner'}], 'depiction': {'image': 'http://upload.wikimedia.org/wikipedia/de/3/3d/Bloch_chaim.jpg', 'url': 'https://de.wikipedia.org/wiki/Datei:Bloch_chaim.jpg?uselang=de', 'thumbnail': 'https://de.wikipedia.org/wiki/Special:FilePath/Bloch_chaim.jpg?width=270'}, 'preferredName': 'Chajim Bloch', 'gender': {'@id': 'http://d-nb.info/standards/vocab/gnd/gender#male', '@value': 'Mann'}, 'dateOfDeath': '23. Januar 1973', 'variantName': ['Ch. Bloch', 'Hayim Bloch', 'H. Bloch'], 'surname': 'Bloch', 'biographicalOrHistoricalInformation': 'Berlin, Frankfurt, Wien, New York (Wirkungsorte); Rabbiner ungar. Herkunft', 'placeOfDeath': {'@id': 'http://d-nb.info/gnd/4042011-5', '@value': 'New York, NY'}, 'placeOfBirth': {'@value': 'Nagy-Bocskó'}, 'dateOfBirth': '27. Juni 1881'}","[{'@id': 'http://toolserver.org/~authoritycontrol/redirect/gnd/de/118511734', 'publisher': {'icon': 'http://de.wikipedia.org/favicon.ico', 'name': 'Wikipedia (Deutsch)', 'abbr': 'WKPDE'}}, {'@id': 'http://data.bnf.fr/12155614', 'publisher': {'icon': 'http://www.bnf.fr/bnf_dev/icono/favicon.ico', 'name': 'Bibliothèque nationale de France | National Library of France', 'abbr': 'BNF'}}, {'@id': 'http://viaf.org/viaf/68907862', 'publisher': {'icon': 'http://viaf.org/viaf/images/viaf.ico', 'name': 'VIAF - Virtual International Authority File', 'abbr': 'VIAF'}}, {'@id': 'http://www.isni.org/0000000120278681', 'publisher': {'icon': 'http://www.isni.org/sites/default/files/isni_new_favicon.ico', 'name': 'International Standard Name Identifier (ISO 27729)', 'abbr': 'ISNI'}}]",Chajim,Bloch,23. Januar 1973,27. Juni 1881
4,http://d-nb.info/gnd/134213599,"{'placeOfActivity': [{'@id': 'http://d-nb.info/gnd/4044660-8', '@value': 'Paris'}], 'dateOfDeath': '1957', 'variantName': ['Petrus Lhande'], 'dateOfBirthAndDeath': '09.07.1877-17.04.1957', 'forename': 'Pierre', 'surname': 'Lhande', 'affiliation': [{'@id': 'http://d-nb.info/gnd/80092-2', '@value': 'Jesuiten'}], 'professionOrOccupation': [{'@id': 'http://d-nb.info/gnd/4030020-1', '@value': 'Katholischer Theologe'}], 'preferredName': 'Pierre Lhande', 'dateOfBirth': '1877'}","[{'@id': 'http://data.bnf.fr/12621012', 'publisher': {'icon': 'http://www.bnf.fr/bnf_dev/icono/favicon.ico', 'name': 'Bibliothèque nationale de France | National Library of France', 'abbr': 'BNF'}}, {'@id': 'http://en.wikipedia.org/wiki/Pierre_Lhande', 'publisher': {'icon': 'http://en.wikipedia.org/favicon.ico', 'name': 'Wikipedia (Englisch)', 'abbr': 'WKP'}}, {'@id': 'http://id.loc.gov/authorities/names/n80136249', 'publisher': {'icon': 'http://www.loc.gov/favicon.ico', 'name': 'Library of Congress / NACO', 'abbr': 'LC'}}, {'@id': 'http://viaf.org/viaf/61667636', 'publisher': {'icon': 'http://viaf.org/viaf/images/viaf.ico', 'name': 'VIAF - Virtual International Authority File', 'abbr': 'VIAF'}}, {'@id': 'http://www.isni.org/0000000116553652', 'publisher': {'icon': 'http://www.isni.org/sites/default/files/isni_new_favicon.ico', 'name': 'International Standard Name Identifier (ISO 27729)', 'abbr': 'ISNI'}}]",Pierre,Lhande,1957,1877
5,http://d-nb.info/gnd/118661779,"{'dateOfDeath': '28. Juli 1964', 'variantName': ['Karl Friedrich Boeters', 'Karl F. Borée'], 'forename': 'Karl Friedrich', 'surname': 'Borée', 'gender': {'@id': 'http://d-nb.info/standards/vocab/gnd/gender#male', '@value': 'Mann'}, 'biographicalOrHistoricalInformation': 'Dt. Schriftsteller, Novellist und Essayist', 'placeOfDeath': {'@id': 'http://d-nb.info/gnd/4011077-1', '@value': 'Darmstadt'}, 'dateOfBirth': '29. Januar 1886', 'preferredName': 'Karl Friedrich Borée', 'placeOfBirth': {'@id': 'http://d-nb.info/gnd/4021441-2', '@value': 'Görlitz'}}","[{'@id': 'http://toolserver.org/~authoritycontrol/redirect/gnd/de/118661779', 'publisher': {'icon': 'http://de.wikipedia.org/favicon.ico', 'name': 'Wikipedia (Deutsch)', 'abbr': 'WKPDE'}}, {'@id': 'http://id.loc.gov/authorities/names/nr98043418', 'publisher': {'icon': 'http://www.loc.gov/favicon.ico', 'name': 'Library of Congress / NACO', 'abbr': 'LC'}}, {'@id': 'http://kulturportal-west-ost.eu/persons/boree-karl-friedrich/', 'publisher': {'name': 'Biographie in der Ostdeutschen Biographie (Kulturportal West-Ost)', 'abbr': 'OSTDEBIB'}}, {'@id': 'http://viaf.org/viaf/42631751', 'publisher': {'icon': 'http://viaf.org/viaf/images/viaf.ico', 'name': 'VIAF - Virtual International Authority File', 'abbr': 'VIAF'}}, {'@id': 'http://www.isni.org/0000000109666974', 'publisher': {'icon': 'http://www.isni.org/sites/default/files/isni_new_favicon.ico', 'name': 'International Standard Name Identifier (ISO 27729)', 'abbr': 'ISNI'}}]",Karl Friedrich,Borée,28. Juli 1964,29. Januar 1886
6,http://d-nb.info/gnd/118580752,"{'forename': 'Peter', 'affiliation': [{'@id': 'http://d-nb.info/gnd/2131189-4', '@value': 'American Guild for German Cultural Freedom'}, {'@id': 'http://d-nb.info/gnd/37041-1', '@value': 'Deutsche Akademie für Sprache und Dichtung (Darmstadt)'}], 'professionOrOccupation': [{'@id': 'http://d-nb.info/gnd/4053309-8', '@value': 'Schriftsteller'}, {'@id': 'http://d-nb.info/gnd/4028781-6', '@value': 'Journalist'}, {'@id': 'http://d-nb.info/gnd/4061414-1', '@value': 'Übersetzer'}], 'familialRelationship': [{'@id': 'http://d-nb.info/gnd/118751980', 'relationship': 'Ehefrau', 'preferredName': 'Hilde Spiel'}, {'@id': 'http://d-nb.info/gnd/102948743X', 'relationship': 'Sohn', 'preferredName': 'Felix Mendelssohn'}, {'relationship': 'Tochter', 'preferredName': 'Christine Shuttleworth'}, {'@id': 'http://d-nb.info/gnd/137176899', 'relationship': 'Ehefrau', 'preferredName': 'Cristine de Mendelssohn'}, {'@id': 'http://d-nb.info/gnd/139824413', 'relationship': 'Vater', 'preferredName': 'Georg Mendelssohn'}], 'preferredName': 'Peter de Mendelssohn', 'placeOfBirth': {'@id': 'http://d-nb.info/gnd/4127793-4', '@value': 'München'}, 'dateOfDeath': '10. August 1982', 'variantName': ['Peter von Mendelssohn', 'Peter v. Mendelssohn', 'Peter Mendelssohn', 'Carl Johann Leuchtenberg', 'Karl Johann Leuchtenberg', 'Peter De Mendelssohn'], 'prefix': 'de', 'surname': 'Mendelssohn', 'biographicalOrHistoricalInformation': 'zeitweise britische Staatsbürgerschaft; Dt. Journalist, Schriftsteller, Übersetzer; Leiter des ""European Office of the American Guild for German Cultural Freedom', 'placeOfDeath': {'@id': 'http://d-nb.info/gnd/4127793-4', '@value': 'München'}, 'gender': {'@id': 'http://d-nb.info/standards/vocab/gnd/gender#male', '@value': 'Mann'}, 'dateOfBirth': '1. Juni 1908'}","[{'@id': 'http://toolserver.org/~authoritycontrol/redirect/gnd/de/118580752', 'publisher': {'icon': 'http://de.wikipedia.org/favicon.ico', 'name': 'Wikipedia (Deutsch)', 'abbr': 'WKPDE'}}, {'@id': 'http://data.bnf.fr/12002708', 'publisher': {'icon': 'http://www.bnf.fr/bnf_dev/icono/favicon.ico', 'name': 'Bibliothèque nationale de France | National Library of France', 'abbr': 'BNF'}}, {'@id': 'http://id.loc.gov/authorities/names/n50042196', 'publisher': {'icon': 'http://www.loc.gov/favicon.ico', 'name': 'Library of Congress / NACO', 'abbr': 'LC'}}, {'@id': 'http://viaf.org/viaf/34466741', 'publisher': {'icon': 'http://viaf.org/viaf/images/viaf.ico', 'name': 'VIAF - Virtual International Authority File', 'abbr': 'VIAF'}}, {'@id': 'http://www.deutsche-biographie.de/pnd118580752.html', 'publisher': {'name': 'Historische Kommission bei der Bayerischen Akademie der Wissenschaften und Bundesarchiv', 'abbr': 'HKBAWB'}}, {'@id': 'http://www.isni.org/0000000108862332', 'publisher': {'icon': 'http://www.isni.org/sites/default/files/isni_new_favicon.ico', 'name': 'International Standard Name Identifier (ISO 27729)', 'abbr': 'ISNI'}}, {'@id': 'http://www.isni.org/0000000368549553', 'publisher': {'icon': 'http://www.isni.org/sites/default/files/isni_new_favicon.ico', 'name': 'International Standard Name Identifier (ISO 27729)', 'abbr': 'ISNI'}}]",Peter,Mendelssohn,10. August 1982,1. Juni 1908
7,http://d-nb.info/gnd/121344134,"{'dateOfDeath': '1951', 'variantName': ['Käte Papke'], 'forename': 'Käthe', 'surname': 'Papke', 'biographicalOrHistoricalInformation': 'Dt. Schriftstellerin, Verfasserin christlicher historischer Romane', 'preferredName': 'Käthe Papke', 'dateOfBirth': '1872'}","[{'@id': 'http://toolserver.org/~authoritycontrol/redirect/gnd/de/121344134', 'publisher': {'icon': 'http://de.wikipedia.org/favicon.ico', 'name': 'Wikipedia (Deutsch)', 'abbr': 'WKPDE'}}, {'@id': 'http://viaf.org/viaf/69782173', 'publisher': {'icon': 'http://viaf.org/viaf/images/viaf.ico', 'name': 'VIAF - Virtual International Authority File', 'abbr': 'VIAF'}}, {'@id': 'http://www.isni.org/0000000051916132', 'publisher': {'icon': 'http://www.isni.org/sites/default/files/isni_new_favicon.ico', 'name': 'International Standard Name Identifier (ISO 27729)', 'abbr': 'ISNI'}}]",Käthe,Papke,1951,1872
8,http://d-nb.info/gnd/118596780,"{'dateOfDeath': '19. Januar 1865', 'variantName': ['P. I. Proudhon', 'P.-J. Proudhon', '... Proudhon', 'P. J. Proudhon', 'Pierre J. Proudhon', 'J. P. Proudhon', 'Joseph Pierre Proudhon', 'Pierre Joseph Proudhon', ""P'er Zhozef Prudon"", 'Pù-lu-tung', 'Pi Ji Purudon', 'Proudhon', 'Prudon', 'Pierre Proudhon'], 'forename': 'Pierre-Joseph', 'surname': 'Proudhon', 'professionOrOccupation': [{'@id': 'http://d-nb.info/gnd/4188566-1', '@value': 'Volkswirt'}, {'@id': 'http://d-nb.info/gnd/4177943-5', '@value': 'Revolutionär'}, {'@id': 'http://d-nb.info/gnd/4045790-4', '@value': 'Philosoph'}], 'biographicalOrHistoricalInformation': 'Franz. Wirtschaftstheoretiker ; Représentant du peuple', 'depiction': {'image': 'http://upload.wikimedia.org/wikipedia/commons/f/f3/Portrait_Pierre-Joseph_Proudhon.jpg', 'url': 'https://commons.wikimedia.org/wiki/File:Portrait_Pierre-Joseph_Proudhon.jpg?uselang=de', 'thumbnail': 'https://commons.wikimedia.org/wiki/Special:FilePath/Portrait_Pierre-Joseph_Proudhon.jpg?width=270'}, 'gender': {'@id': 'http://d-nb.info/standards/vocab/gnd/gender#male', '@value': 'Mann'}, 'preferredName': 'Pierre-Joseph Proudhon', 'dateOfBirth': '15. Januar 1809'}","[{'@id': 'http://toolserver.org/~authoritycontrol/redirect/gnd/de/118596780', 'publisher': {'icon': 'http://de.wikipedia.org/favicon.ico', 'name': 'Wikipedia (Deutsch)', 'abbr': 'WKPDE'}}, {'@id': 'http://data.bnf.fr/11920705', 'publisher': {'icon': 'http://www.bnf.fr/bnf_dev/icono/favicon.ico', 'name': 'Bibliothèque nationale de France | National Library of France', 'abbr': 'BNF'}}, {'@id': 'http://en.wikipedia.org/wiki/Pierre-Joseph_Proudhon', 'publisher': {'icon': 'http://en.wikipedia.org/favicon.ico', 'name': 'Wikipedia (Englisch)', 'abbr': 'WKP'}}, {'@id': 'http://id.loc.gov/authorities/names/n79043991', 'publisher': {'icon': 'http://www.loc.gov/favicon.ico', 'name': 'Library of Congress / NACO', 'abbr': 'LC'}}, {'@id': 'http://toolserver.org/~authoritycontrol/redirect/gnd/ws/118596780', 'publisher': {'icon': 'http://wikisource.org/favicon.ico', 'name': 'Wikisource', 'abbr': 'WIKISOURCE'}}, {'@id': 'http://viaf.org/viaf/17228286', 'publisher': {'icon': 'http://viaf.org/viaf/images/viaf.ico', 'name': 'VIAF - Virtual International Authority File', 'abbr': 'VIAF'}}, {'@id': 'http://www.isni.org/0000000120956606', 'publisher': {'icon': 'http://www.isni.org/sites/default/files/isni_new_favicon.ico', 'name': 'International Standard Name Identifier (ISO 27729)', 'abbr': 'ISNI'}}]",Pierre-Joseph,Proudhon,19. Januar 1865,15. Januar 1809
9,http://d-nb.info/gnd/132873192,"{'variantName': ['Friedrich R. Ehlers', 'Christ. Friedr. Robert Ehlers', 'Christ. Robert Friedrich Ehlers', 'Christ. Friedrich Robert Ehlers', 'Friedrich Robert Ehlers', 'Robert Ehlers', 'Friedrich Robert'], 'forename': 'Christian Friedrich Robert', 'surname': 'Ehlers', 'biographicalOrHistoricalInformation': 'Verf. populärwissenschaftl., überw. medizin. Werke', 'dateOfBirth': '1858', 'preferredName': 'Christian Friedrich Robert Ehlers', 'placeOfBirth': {'@id': 'http://d-nb.info/gnd/4023118-5', '@value': 'Hamburg'}}","[{'@id': 'http://id.loc.gov/authorities/names/no2007052729', 'publisher': {'icon': 'http://www.loc.gov/favicon.ico', 'name': 'Library of Congress / NACO', 'abbr': 'LC'}}, {'@id': 'http://viaf.org/viaf/13483720', 'publisher': {'icon': 'http://viaf.org/viaf/images/viaf.ico', 'name': 'VIAF - Virtual International Authority File', 'abbr': 'VIAF'}}]",Christian Friedrich Robert,Ehlers,,1858
