row,titleChunks,authorChunks,titleGND,title,completeWorks,ssFlag,authorFirstname,authorLastname,authorPseudonym,authorFullname,firstEditionPublisher,firstEditionPublicationYear,firstEditionPublicationPlace,secondEditionPublisher,secondEditionPublicationYear,secondEditionPublicationPlace,authorGND,authorGND2,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56
1,Done,Done,http://d-nb.info/573035792,Erinnerungen der Miss Barbara,,true,,,,,Kuriosa-Verlag,1925,Paris,Kuriosa-Verlag,1925,Paris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Done,Done,http://d-nb.info/363127429,Frauenleiden,,false,Ignaz,Zadek,,Ignaz Zadek,Vorwärts,1917,Berlin,Vorwärts,1917,Berlin,http://d-nb.info/gnd/124963463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Done,Done,http://d-nb.info/573463034,Larissa,,false,Hubert Ernst,Gilbert,,Hubert Ernst Gilbert,Dion-Verlag,1930,Berlin,Dom-Verlag,1930,Berlin,http://d-nb.info/gnd/126297061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Done,Done,http://d-nb.info/993450741,Vom Reichstagsbrand zur Entfachung des Weltkriegsbrandes,,true,,Hrsg. unter der Red. v. G. Friedrich u. F. Lang,,,Éditions Prométhée,1938,Paris,Éditions Prométhée,1938,Paris,,http://d-nb.info/gnd/10170691X,http://d-nb.info/gnd/126857059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Done,Done,http://d-nb.info/992348811,Kulturgeschichte der Neuzeit,,false,Egon,Riedinender [eigentl. Fridell],,Egon Riedinender [eigentl. Fridell],Beck,1927/31,München,Beck,1927/31,München,http://d-nb.info/gnd/118535560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Done,Done,http://d-nb.info/576857475,Gericht über Hugenberg,,false,,Wahrmund,,,Manz,1932,Dillingen,Manz,1932,Dillingen,http://d-nb.info/gnd/124264980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Done,Done,http://d-nb.info/572429983,Priester der Liebe,,false,Chajim,Bloch,,Chajim Bloch,Amalthea-Verlag,1930,Wien,Amalthea-Verlag,1930,Wien,http://d-nb.info/gnd/118511734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Done,Done,http://d-nb.info/579360059,Das Buch der NSDAP,,false,Walter Maria,Espe,,Walter Maria Espe,Schönfeld,1934,Berlin,Schönfeld,1934,Berlin,http://d-nb.info/gnd/126337438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Done,Done,http://d-nb.info/992486149 ,Der Soldat Tanaka. Schauspiel.,,true,Georg,Kaiser,,Georg Kaiser,Oprecht,1940,"Zürich, New York",Oprecht,1940,"Zürich, New York",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Done,Done,http://d-nb.info/576462470,"Sowjetunion, 15 Jahre ~.",,true,,,,,,1932,o. O.,,1932,o. O.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
