Fokker, Anthony	http://d-nb.info/gnd/119211572
Lonsbach, Richard Maximilian	http://d-nb.info/gnd/110976363
Luecke, Florentin	http://d-nb.info/gnd/181904802
Weston, Patrick	http://d-nb.info/gnd/127983260
Piech, Julius	
Brenner, Arvid	http://d-nb.info/gnd/121091228
Renn, Ludwig	http://d-nb.info/gnd/118599720, http://d-nb.info/gnd/187985936
Kaegi, Martha	http://d-nb.info/gnd/126677867
Braun, Adolf	http://d-nb.info/gnd/101432879, http://d-nb.info/gnd/118936654, http://d-nb.info/gnd/101217901X
Kolbenhoff, Walter	http://d-nb.info/gnd/118713728, http://d-nb.info/gnd/176218572
Muckermann, Friedrich	http://d-nb.info/gnd/118737295
Layton, Walter	http://d-nb.info/gnd/124371655, http://d-nb.info/gnd/181671654
Bettauer, Hugo	http://d-nb.info/gnd/11851038X, http://d-nb.info/gnd/101412235X
Sprey, Jacob	http://d-nb.info/gnd/183251830
Rubinstein, Alexander	http://d-nb.info/gnd/121099539, http://d-nb.info/gnd/129964166
Sander, Martin Christian	
Holmberg, Otto	http://d-nb.info/gnd/127600779, http://d-nb.info/gnd/175902992
Huenermann, Wilhelm	http://d-nb.info/gnd/118018507
Bergfeld, Ludwig	http://d-nb.info/gnd/126039410
Kesser, Hermann	http://d-nb.info/gnd/116017899, http://d-nb.info/gnd/176178945
Krische, Paul	http://d-nb.info/gnd/116546441
Lissmann, Paul	http://d-nb.info/gnd/126482942, http://d-nb.info/gnd/1031307850
Goll, Iwan	http://d-nb.info/gnd/118540564
L'Ill, Jean de	http://d-nb.info/gnd/126464081
Ludwig, Emil	http://d-nb.info/gnd/10082577X, http://d-nb.info/gnd/118780778, http://d-nb.info/gnd/130895814, http://d-nb.info/gnd/143676105
Sagsmann, Hanns	
Aufhaeuser, Siegfried	http://d-nb.info/gnd/157693406
Kaufmann, Francisco Hilario	http://d-nb.info/gnd/126701229
Lehmann, Otto	http://d-nb.info/gnd/101304714, http://d-nb.info/gnd/116875267, http://d-nb.info/gnd/116875275, http://d-nb.info/gnd/116875283, http://d-nb.info/gnd/123520789, http://d-nb.info/gnd/130512516, http://d-nb.info/gnd/13354480X, http://d-nb.info/gnd/136599990, http://d-nb.info/gnd/136600026, http://d-nb.info/gnd/141380330, http://d-nb.info/gnd/14239713X, http://d-nb.info/gnd/1012579190, http://d-nb.info/gnd/1015896413, http://d-nb.info/gnd/1017522480, http://d-nb.info/gnd/1028949030, http://d-nb.info/gnd/1031363009
Duszynska, J.	
Teulon, P. N.	http://d-nb.info/gnd/131159453
Clément, Frantz 	
Kleemann, Karl	http://d-nb.info/gnd/108547523, http://d-nb.info/gnd/130501174
Breitner, Erhard, Dr.	
