GND	WIKI PAGE DE	HITS (btw 2014/05/28 and 2014/06/26)	AVG HITS (per day)	CHAR_COUNT (on 2014/06/28)	WORD_COUNT (on 2014/06/28)
http://d-nb.info/gnd/101223897		0	0	0	0
http://d-nb.info/gnd/118507362	http://de.wikipedia.org/wiki/Walter_Bauer_%28Schriftsteller%29	204	6.8	8934	999
http://d-nb.info/gnd/1030230269		0	0	0	0
http://d-nb.info/gnd/117174289		0	0	0	0
http://d-nb.info/gnd/104228490		0	0	0	0
http://d-nb.info/gnd/127435360		0	0	0	0
http://d-nb.info/gnd/118555634	http://de.wikipedia.org/wiki/Theodor_Innitzer	703	23.43	11236	1315
http://d-nb.info/gnd/118617435	http://de.wikipedia.org/wiki/Marie_Steiner	309	10.3	14762	1788
http://d-nb.info/gnd/110403452		0	0	0	0
http://d-nb.info/gnd/105334383		0	0	0	0
http://d-nb.info/gnd/13361364X	http://de.wikipedia.org/wiki/Julius_Bruhns	45	1.5	4869	537
http://d-nb.info/gnd/109960785	https://de.wikipedia.org/wiki/Der_parf%C3%BCmierte_Garten	312	10.4	4059	509
http://d-nb.info/gnd/126488304		0	0	0	0
http://d-nb.info/gnd/126848165		0	0	0	0
http://d-nb.info/gnd/133030571		0	0	0	0
http://d-nb.info/gnd/		0	0	0	0
http://d-nb.info/gnd/123632080	http://de.wikipedia.org/wiki/Paul_Hahn	107	3.57	5985	676
http://d-nb.info/gnd/12690409X		0	0	0	0
http://d-nb.info/gnd/119519437	http://de.wikipedia.org/wiki/Hans_Tombrock	128	4.27	10368	1253
http://d-nb.info/gnd/126974217		0	0	0	0
http://d-nb.info/gnd/126924376		0	0	0	0
http://d-nb.info/gnd/127269169		0	0	0	0
http://d-nb.info/gnd/12500155X		0	0	0	0
http://d-nb.info/gnd/12739995X		0	0	0	0
http://d-nb.info/gnd/126529612		0	0	0	0
http://d-nb.info/gnd/113834543		0	0	0	0
http://d-nb.info/gnd/105751596		0	0	0	0
http://d-nb.info/gnd/116235470	http://de.wikipedia.org/wiki/Franz_D%C3%BClberg	40	1.33	1949	203
http://d-nb.info/gnd/12641811X		0	0	0	0
http://d-nb.info/gnd/123630797	http://de.wikipedia.org/wiki/Irene_Harand	161	5.37	8795	1074
http://d-nb.info/gnd/120346516	http://de.wikipedia.org/wiki/Helmuth_Klotz	185	6.17	30823	3911
http://d-nb.info/gnd/118639218	http://de.wikipedia.org/wiki/Alexander_Iwanowitsch_Herzen	578	19.27	10161	1200
http://d-nb.info/gnd/1031307850		0	0	0	0
http://d-nb.info/gnd/130891673	http://de.wikipedia.org/wiki/Kurt_Hickethier	118	3.93	3330	367
http://d-nb.info/gnd/118782746	http://de.wikipedia.org/wiki/Gustav_Mayer_%28Historiker%29	121	4.03	4583	493
http://d-nb.info/gnd/118508482	http://de.wikipedia.org/wiki/Hans_Beimler	898	29.93	17437	2200
http://d-nb.info/gnd/103203540		0	0	0	0
http://d-nb.info/gnd/126386080		0	0	0	0
Herrosé & Ziemsen, Wittenberg		0	0	0	0
http://d-nb.info/gnd/118507346	https://de.wikipedia.org/wiki/Otto_Bauer_%28Politiker,_1881%29	1082	36.07	37244	4607
http://d-nb.info/gnd/140787178		0	0	0	0
http://d-nb.info/gnd/118536354		0	0	0	0
http://d-nb.info/gnd/118639250	http://de.wikipedia.org/wiki/Fjodor_Wassiljewitsch_Gladkow	118	3.93	3656	430
http://d-nb.info/gnd/130245372		0	0	0	0
http://d-nb.info/gnd/118741322	http://de.wikipedia.org/wiki/Gerhart_Pohl	117	3.9	5754	654
http://d-nb.info/gnd/104638923		0	0	0	0
http://d-nb.info/gnd/118760750	http://de.wikipedia.org/wiki/Reinhold_Trautmann	60	2	3771	400
http://d-nb.info/gnd/105704989		0	0	0	0
http://d-nb.info/gnd/118545442	http://de.wikipedia.org/wiki/Hans_von_Hammerstein-Equord	120	4	8022	928
http://d-nb.info/gnd/118930974	http://de.wikipedia.org/wiki/Anton_de_Kom	108	3.6	9346	1214
http://d-nb.info/gnd/131326260		0	0	0	0
http://d-nb.info/gnd/101526105		0	0	0	0
http://d-nb.info/gnd/118623362	http://de.wikipedia.org/wiki/Friedrich_Torberg	2023	67.43	31077	3931
http://d-nb.info/gnd/139894306	http://de.wikipedia.org/wiki/Annie_Reich	318	10.6	7945	926
http://d-nb.info/gnd/118864130	http://de.wikipedia.org/wiki/Walerian_Wladimirowitsch_Kuibyschew	203	6.77	4417	493
http://d-nb.info/gnd/126972443		0	0	0	0
http://d-nb.info/gnd/107478994		0	0	0	0
http://d-nb.info/gnd/120138743	http://de.wikipedia.org/wiki/Ernst_Bindel	41	1.37	2346	228
http://d-nb.info/gnd/126174482		0	0	0	0
http://d-nb.info/gnd/110106458		0	0	0	0
http://d-nb.info/gnd/139013156		0	0	0	0
Stettenheimer, Carl		0	0	0	0
http://d-nb.info/gnd/118781278	http://de.wikipedia.org/wiki/Artur_Mahraun	227	7.57	12908	1494
http://d-nb.info/gnd/119265052	http://de.wikipedia.org/wiki/Paul_Bekker	230	7.67	5163	565
http://d-nb.info/gnd/126343608		0	0	0	0
http://d-nb.info/gnd/102233683		0	0	0	0
http://d-nb.info/gnd/123105285		0	0	0	0
http://d-nb.info/gnd/119049163	http://de.wikipedia.org/wiki/Panait_Istrati	153	5.1	4074	440
http://d-nb.info/gnd/152552197		0	0	0	0
http://d-nb.info/gnd/104771593		0	0	0	0
http://d-nb.info/gnd/126813078		0	0	0	0
http://d-nb.info/gnd/141581514		0	0	0	0
http://d-nb.info/gnd/117008184	http://de.wikipedia.org/wiki/Fritz_Schotth%C3%B6fer	53	1.77	2334	261
http://d-nb.info/gnd/116045507	http://de.wikipedia.org/wiki/Norbert_M%C3%BChlen	50	1.67	7647	910
http://d-nb.info/gnd/118677276	http://de.wikipedia.org/wiki/Claude-Prosper_Jolyot_de_Cr%C3%A9billon	98	3.27	3927	489
http://d-nb.info/gnd/101223862		0	0	0	0
http://d-nb.info/gnd/102106916		0	0	0	0
http://d-nb.info/gnd/116395257		0	0	0	0
http://d-nb.info/gnd/130957747		0	0	0	0
http://d-nb.info/gnd/102464118X		0	0	0	0
http://d-nb.info/gnd/105140279		0	0	0	0
http://d-nb.info/gnd/12658835X		0	0	0	0
http://d-nb.info/gnd/1014635926		0	0	0	0
http://d-nb.info/gnd/119360322	http://de.wikipedia.org/wiki/Werner_David_Feist	37	1.23	2690	312
http://d-nb.info/gnd/127210342		0	0	0	0
http://d-nb.info/gnd/106348671		0	0	0	0
http://d-nb.info/gnd/119074664	http://de.wikipedia.org/wiki/Grete_Weiskopf	308	10.27	5446	635
http://d-nb.info/gnd/125996446		0	0	0	0
http://d-nb.info/gnd/115820922	http://de.wikipedia.org/wiki/Konrad_Algermissen	102	3.4	5340	588
